"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Solanum arundo",4,4,4,50,50,50,30,30,30,13.75,12.5,15,"NA","NA","NA","NA","NA","NA","NA","NA","NA",25,25,25,,,,,"Shrub, Tree",,"Simple",,"Berry","Yellow"
"Solanum ashbyae",2,2,2,65,50,80,47.5,40,55,16.25,12.5,20,"NA","NA","NA","NA","NA","NA","NA","NA","NA",15,15,15,,"Diploid",12,,"Shrub",,"Simple","purple","Berry","Green"
"Solanum asperolanatum",4,4,4,350,350,350,250,250,250,17.5,17.5,17.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",15,15,15,"SC","Diploid",12,"Perennial","Shrub, Tree","Woody","Simple","white",,"Yellow"
"Solanum aspersum","NA","NA","NA",62.5,35,90,30.5,15,46,7.25,6,8.5,"NA","NA","NA",6.5,6,7,5.5,5,6,"NA","NA","NA",,,,,"Vine","Woody","Simple","white, pink, light blue","Berry",
"Solanum asperum",3.5,1,6,135,100,170,25,20,30,5.25,4.5,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA",9,8,10,,,,,"Shrub, Tree",,,"white","Berry",
"Solanum asymmetriphyllum",3,3,3,135,90,180,50,30,70,28.225,12.5,35.2,"NA","NA","NA","NA","NA","NA",13.4,13.4,13.4,25,20,30,,"Diploid",12,"Perennial","Shrub","Woody","Simple","purple","Berry","Green"
"Solanum athenae","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,,"Shrub",,,,,
"Solanum atitlanum",5.5,1,10,185,80,290,70,30,110,6.75,5,8.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10.5,9,12,,"Diploid",12,,"Shrub, Tree",,,"light blue, blue, light purple, purple","Berry","Yellow"
"Solanum atriplicifolium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,"Annual",,,"Simple",,,
"Solanum atropurpureum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Perennial","Shrub","Woody",,,,
"Solanum aturense",10,10,10,115,80,150,55,40,70,"NA","NA","NA","NA","NA","NA",15,14,16,14,13,15,25,20,30,,,,,"Vine","Woody",,"white, purple","Berry","Red, Orange"
"Solanum augustii","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.25,15,17.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",12.5,10,15,,"Diploid",12,"Perennial",,"Herbaceous","Compound","light blue","Berry",
"Solanum aureum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
