"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Solanum brownii",1.2,0.6,1.8,108.5,72,145,21.5,14,29,13.5,11,16,"NA","NA","NA","NA","NA","NA",9.25,8.5,10,23.5,18,29,,,,"Perennial","Shrub",,"Simple","white, purple",,"Yellow, Green"
"Solanum bruecheri",0.3,0.3,0.3,180,180,180,"NA","NA","NA",10,10,10,"NA","NA","NA","NA","NA","NA",8,8,8,"NA","NA","NA",,,,,,,"Compound","purple",,
"Solanum buesii",0.7,0.7,0.7,250,250,250,"NA","NA","NA",17.5,15,20,"NA","NA","NA","NA","NA","NA",10,10,10,35,35,35,,"Diploid",12,"Perennial","Herb","Herbaceous","Compound","blue, purple","Berry","Purple/Violet/Black"
"Solanum bulbocastanum",0.7,0.3,1,75.5,40,150,32.5,20,60,9,6,13,"NA","NA","NA","NA","NA","NA",9.1666666667,7,11,10,10,10,"SI","Diploid","12, 18","Perennial","Herb","Herbaceous","Simple","white, light yellow, green, cream, yellow","Berry","Green"
"Solanum bulbocastanum subsp. partitum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,,,,,"cream",,
"Solanum bullatum",4,4,4,230,140,320,90,60,120,9.5,8,11,"NA","NA","NA",7,6,8,"NA","NA","NA",8.5,8,9,,"Polyploid",15,,"Shrub, Tree",,,"white","Berry",
"Solanum bumeliifolium","NA","NA","NA",27.5,25,30,5,5,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,"Shrub",,"Simple",,,
"Solanum burchellii",1,1,1,60,60,60,30,30,30,8.75,7.5,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10,10,10,,,,,"Shrub",,"Simple","blue, purple","Berry","Orange"
"Solanum burkartii","NA","NA","NA","NA","NA","NA","NA","NA","NA",13.75,12.5,15,"NA","NA","NA","NA","NA","NA","NA","NA","NA",22,22,22,,"Diploid",12,"Perennial","Herb","Herbaceous","Compound","purple, light blue, light purple","Berry",
"Solanum caavurana",3,1,5,133,80,186,56.5,36,77,9,8,10,"NA","NA","NA","NA","NA","NA",10,10,10,12.5,10,15,,"Diploid",12,,"Subshrub, Shrub",,"Simple","white","Berry","White, Green"
"Solanum cacosmum",4,1,7,215,200,230,135,120,150,10,8,12,1.5,1,2,8.5,7,10,6.5,5,8,50,25,75,"SI","Diploid",12,"Perennial","Tree","Woody","Simple","yellow, green","Berry",
